만두;dumpling
만들다;make, create
만일;if, should
만지다;touch
만화;comic book, cartoon
많다;many
많이;a lot of, many
말;word, talk
말씀;words, remarks
말씀하다;talk
말하기;speaking
말하다;say, talk
맑다;clear, clean
맛;flavor, taste
맛없다;not delicious
맛있다;delicious
맞다;right, fit, correct
맞습니다;That's right.
맞아요;That's right.
맞은편;across, the other side, opposite
매다;tie
매우;extremely, very
매일;everyday
매주;every week
맥주;beer
맵다;spicy
머리;head, hair
먹다;eat
먼저;first, first of all, before
멀다;far, distant, long
멋있다;cool, nice
메뉴;menu
메다;shoulder, carry
메모;memo
메시지;message
멕시코;Mexico
며칠;a few days, what date
면도;razor, shaving
명;~ person(s)
명절;holidays, annual events
몇;a few, a number of
모두;all, everyone
모레;the day after tomorrow
모르겠습니다;I don't know.
모르다;do not know
모시다;take you, serve you (honorific form)
모양;shape, form, style
모으다;collect, gather
모이다;gather, get together
모임;meeting, gathering
모자;hat
목;neck, throat
목걸이;necklace
목소리;voice
목요일;Thursday
목욕;bath, bathing
목욕하다;take a bath
목적;purpose
몸;body
몸살;sickness, disease that comes from fatigue
못하다;~ can not do
몽골;Mongolia
무;radish
무겁다;heavy
무궁화;rose of sharon
무료;free
무릎;knee
무리;swarm, unreasonable
무섭다;scary
무슨;what
무엇;what
무엇이;what
무역;trade
무용;dance
무척;very
문;door, gate
문구점;stationery store
문장;sentence
문제;problem
문화;culture
묻다;ask
물;water
물건;stuff, thing
물론;sure, of course
물어보다;ask
뭐;what
미국;The United States
미래;future
미리;in advance, beforehand
미술;art
미술관;art gallery, art museum
미안하다;sorry
미안합니다;I'm sorry.
미용실;beauty salon
미터;meter
민속촌;folk village
밀가루;flour
밀리다;be shaved, be pushed
밑;bottom, below
바꾸다;change
바뀌다;be changed
바나나;banana
바다;sea
바닷가;beach
바라다;hope
바람;wind
바로;immediately, soon, just
바르다;right, paint, wear
바쁘다;busy
바이올린;violin
바지;pants
박물관;museum
박수;clap, applause
밖;out, outside
반;half, group
반갑다;nice to meet, happy
반갑습니다;Nice to meet you.
반년;half a year
반달;half-moon
반바지;shorts
반지;ring
반찬;side dish
받다;receive
발;foot, leg
발가락;toe(s)
발음;pronunciation
발전;development
발표;announcement, presentation
밝다;bright
밤;night
밥;rice, meal
방;room
방법;way, method
방송;broadcast
방송국;broadcast stations
방학;vacation
배;ship, stomach, pear
배고프다;hungry
배구;volleyball
배달;delivery
배부르다;be full (I am full.)
배우;actor
배우다;learn
배탈;stomachache
백;100
백화점;department store
버리다;abandon, throw away
버스;bus
번;~ time(s)
번호;number
벌다;earn, make money
벌써;already
벗다;take off (clothes, shoes)
벚꽃;cherry blossom
베이징;Beijing
베트남;Vietnam
벽;wall
변호사;lawyer
별;star
별로;not really
병;illness, ~ bottle(s)
병원;hospital
보내다;send, spend
보다;see
보도;sidewalk, report
보이다;show, look
보통;usually, normally, in general
복숭아;peach
복잡하다;complicated, crowded
볶다;fry
볶음밥;fried rice
볼펜;ballpoint pen
봄;spring
봉지;bag
봉투;envelope
뵙다;meet
부동산;real estate
부드럽다;soft, friendly
부르다;call, sing
부모;parents
부부;couple, husband and wife, married couple
부산;Busan
부업;sideline
부엌;kitchen
부인;wife, Mrs.
부장;director
부지런하다;diligent
부치다;send, fry, transmit
부탁;request, please
부탁하다;beg, ask
북쪽;North
분;~ person(s), ~ minute(s)
분위기;#N/A
불;fire, electrical light
불고기;Bulgogi, grilled meat
불다;blow (wind or whistle, musical instruments, etc.)
불편하다;uncomfortable, inconvenient
붓다;pour
붙다;stick, pass a test
붙이다;attach, stick
브라질;Brazil
블라우스;blouse
비;rain
비누;soap
비디오;video
비밀;secret
비빔밥;Bibimbap, mixed rice
비슷하다;similar, like
비싸다;expensive
비행기;airplane
비행장;airfield, airport
빌딩;building
빌리다;borrow, lend
빠르다;fast
빨간색;red color
빨갛다;red
빨다;suck, do laundry
빨래;laundry, wash
빨리;quickly
빵;bread
빵집;bakery
빼다;remove, pull, pull out
뿐;only
사;4
사거리;intersection, four corners
사계절;four seasons
사고;accident
사과;apple
사다;buy
사람;person, man
사랑;love
사랑하다;love
사례;case, example
사무실;office
사물;object, thing
사십;40
사업가;entrepreneur, businessman
사용하다;use
사원;temple, employee
사월;April
사이;between, while
사이다;cider
사이즈;size
사인하다;sign
사장;CEO, the president
사전;dictionary
사진;picture, photo
사진기;camera
사촌;cousin
사탕;candy
사흘;3 days
산;mountain
산책;walk
살;flesh, ~ year(s) old
살다;live
삼;3
삼거리;intersection, three-way intersection
삼계탕;Samgyetang
삼십;30
삼월;March
삼촌;paternal uncle
상관;relation
상자;box
상처;wound, scratch
상품;product
새;bird, new
새로;newly
새벽;dawn, late at night, early morning
새우;shrimp
색;color
색깔;color
샌드위치;sandwich
생각;thinking, thought
생각되다;be considered, it seems~
생각하다;think
생기다;form, arise
생선;fish
생신;birthday (honorific form)
생일;birthday
생활;life
샤워하다;take a shower
샴푸;shampoo
서다;stand
서로;each other, both
서류;document
서른;30
서비스;service
서양;western, west
서울;Seoul
서울역;Seoul station
서점;bookstore
서쪽;west, western
선물;gift, present
선배;elder, senior
선생님;teacher
선수;player
선택하다;choose, select
선풍기;fan
설거지;washing dishes, dish-washing
설날;Lunar New Year
설렁탕;Seolleongtang
설명;explanation, description
설명하다;explain
설악산;Mt. Seorak
설탕;sugar
섬;island
성;castle, last name
성격;personality
성함;name
세계;world
세수하다;wash
세우다;set up, formulate
세일하다;have a sale
세탁기;washing machine
세탁소;dry cleaners, laundromat
센터;center
센티미터;centimeter
셋;3
셋째;third
소;small, cow
소개;introduction
소개하다;introduce
소고기;beef
소금;salt
소리;sound, voice
소설;novel
소설가;novelist
소식;news
소파;sofa
소포;parcel
소풍;picnic, trip
소화제;peptic, digestive
속;inside
손;hand
손가락;finger
손님;customer
손수건;handkerchief
송이;bunch, flower, cluster
쇼핑;shopping
수건;towel, washcloth
수도;capital, water supply
수돗물;tap water
수박;watermelon
수술하다;operate on for
수업;class, lesson
수영;swimming
수영복;swimsuit
수영장;swimming pool
수요일;Wednesday
수저;chopsticks and a spoon
수첩;note, notebook
수학;mathematics
숙제;homework
순서;order, turn
숟가락;spoon
술;alcohol, liquor
쉬다;rest
쉰;50
쉽다;easy
슈퍼마켓;supermarket
스물;20
스웨터;sweater
스케이트;skate
스키;ski, skiing
스키장;ski resort
스타;star
스타킹;stockings
스트레스;stress
스페인어;Spanish
스포츠;sport
슬퍼하다;sorrow, mourn
슬프다;sad
습관;habit
시;city, time
시간;time
시간표;schedule, timetable
시계;clock
시골;countryside
시끄럽다;noisy
시내;downtown, city, stream
시다;sour
시디;CD
시민;citizen
시설;facility
시외;suburbs
시원하다;cool, refresh
시월;October
시작;start
시작되다;begin
시작하다;start, begin
시장;market
시청;city hall
시키다;make someone do, order
시험;exam, test
식당;restaurant, cafeteria
식사;meal
식탁;table
신;god, new
신다;put on, wear
신문;newspaper
신발;shoes, footwear
신청서;application forms
신청하다;put in for, apply for
실례;excuse
실례하다;be excused
실수;mistake, failure
싫다;hate
싫어하다;dislike, hate
심하다;severe, terrible
십;10
십이월;December
십일월;November
싱겁다;not salty
싶다;want
싸다;cheap, wrap
싸우다;fight
쌀;rice
쌀밥;cooked rice
쌓이다;stack up, pile up
썰다;chop, cut
쓰기;writing, dictation
쓰다;write, use, wear (glasses)
쓰레기;garbage
쓰이다;be written, be used
씨;seed, Mr. ~
씩;each, every, per
씹다;chew, bite
씻다;wash
아가씨;Miss, daughter
아기;baby, toddler
아까;earlier, while ago
아내;wife
아뇨;no
아니다;no
아니오;no
아니요;no
아들;son
아랍어;Arabic
아래;bottom, under
아름답다;beautiful
